canonical_key,alias_name,source_id,notes
deans,Deans,,From BFPerry person_id=3183
decatur,Decatur,,From BFPerry person_id=1906
delorme,DeLorme,,From BFPerry person_id=3357
desaussure,DeSaussure,,From BFPerry person_id=1947
desaussures,DeSaussures,,From BFPerry person_id=2534
detreville,DeTreville,,From BFPerry person_id=1993
dexter_w_wells,Dexter W. Wells,,From BFPerry person_id=2707
diarrhea,diar[r]hea,,From BFPerry person_id=5559
dicey_langston,Dicey Langston,,From BFPerry person_id=2293
dick_jacobs,Dick Jacobs,,From BFPerry person_id=2675
dickey,Dickey,,From BFPerry person_id=2678
dickinson,Dickinson,,From BFPerry person_id=1911
dickson,Dickson,,From BFPerry person_id=2827
dicky,Dicky,,From BFPerry person_id=2390
dillard,Dillard,,From BFPerry person_id=2182
dinkins,Dinkins,,From BFPerry person_id=2996
dix,Dix,,From BFPerry person_id=2918
dockett,Dockett,,From BFPerry person_id=2107
doty,Doty,,From BFPerry person_id=2701
dougherty,Dougherty,,From BFPerry person_id=2158
douglas,Douglas,,From BFPerry person_id=2837
douglass,Douglass,,From BFPerry person_id=2032
douthits,Douthits,,From BFPerry person_id=1785
doyley,Doyley,,From BFPerry person_id=2128
dr_john_leconte,Dr. John LeConte,,From BFPerry person_id=908
dr_zimmerman,Dr. Zimmerman,,From BFPerry person_id=3048
drank,drank,,From BFPerry person_id=4772
drayton,Drayton,,From BFPerry person_id=2202
drs,Drs,,From BFPerry person_id=2692
